chromosome	scaffold	length	chromLengths	chromStarts	chromEnds	chromMid
1	scaffold_01	122030211	122030211	1	122030211	61015105.5
2	scaffold_02	82969690	82969690	131030212	213999901	172515056
3	scaffold_03	46345649	46345649	222999902	269345550	246172725.5
4	scaffold_04	33576320	33576320	278345551	311921870	295133710
5	scaffold_05	49979521	49979521	320921871	370901391	345911630.5
6	scaffold_06	54902676	54902676	379901392	434804067	407352729
7	scaffold_07	37253630	37253630	443804068	481057697	462430882
8	scaffold_08	18441779	18441779	490057698	508499476	499278586.5
9	scaffold_09	22778183	22778183	517499477	540277659	528888567.5
10	scaffold_10	23453803	23453803	549277660	572731462	561004560.5
